Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
79,Marquise Goodwin (FA),27,42,387,14.3,38,9,4,2,5,0,0,13,76.7,5.9,0.0%
80,Treylon Burks (TEN),33,54,444,13.5,51,8,1,4,47,0,0,11,71.6,6.5,2.8%
81,Kendrick Bourne (NE),35,48,434,12.4,41,6,1,6,39,0,0,16,70.8,4.4,2.7%
82,Nick Westbrook-Ikhine (MIA),25,50,397,15.9,63,5,3,0,0,0,0,16,70.2,4.4,3.4%
83,Elijah Moore (BUF),37,65,446,12.1,42,8,1,5,5,0,0,16,69.6,4.4,4.9%
84,Terrace Marshall Jr. (PHI),28,47,490,17.5,43,10,1,0,0,0,0,13,69.0,5.3,0.6%
85,Trent Sherfield Sr. (DEN),30,51,417,13.9,75,5,2,0,0,0,0,16,68.7,4.3,0.1%
86,Allen Robinson II (FA),33,52,339,10.3,29,3,3,0,0,0,0,10,68.4,6.8,1.4%
87,Quez Watkins (ARI),33,51,354,10.7,53,5,3,3,1,0,1,17,68.0,4.0,0.0%
88,Rondale Moore (MIN),41,56,414,10.1,38,6,1,6,-5,0,0,8,67.4,8.4,0.7%
89,Van Jefferson (TEN),24,44,369,15.4,39,7,3,0,0,0,0,10,66.9,6.7,1.8%
90,Jauan Jennings (SF),35,56,416,11.9,44,3,1,0,0,0,0,16,65.1,4.1,83.4%
91,Ben Skowronek (PIT),39,61,376,9.6,32,5,0,1,17,1,0,14,64.8,4.6,0.1%
92,Randall Cobb (FA),34,50,417,12.3,40,7,1,0,0,0,0,13,64.7,5.0,1.1%
93,Hunter Renfrow (CAR),36,50,330,9.2,27,3,2,0,0,0,1,10,61.0,6.1,1.8%
94,Jamal Agnew (ATL),23,30,187,8.1,24,1,3,12,86,0,0,15,60.8,4.1,0.0%
95,Nelson Agholor (FA),31,53,362,11.7,44,6,2,0,0,0,2,15,59.7,4.0,1.0%
96,Laviska Shenault Jr. (BUF),27,32,272,10.1,67,3,1,9,65,1,0,13,59.2,4.6,0.1%
