"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"39","Peyton Barber (FA)","16","154","470","3.1","204","1.3","266","1.7","8","15","-27","16","8","0","0","0","0","17","16","24","2","24"
"40","Royce Freeman (FA)","16","132","496","3.8","244","1.8","252","1.9","8","9","-19","4","13","1","0","0","0","26","43","50","6","74"
"41","LeSean McCoy (FA)","13","101","465","4.6","265","2.6","200","2.0","5","8","-10","6","12","4","2","0","0","39","28","34","5","31"
"42","DeAndre Washington (FA)","16","108","387","3.6","186","1.7","201","1.9","5","8","-20","14","4","1","1","0","0","36","36","41","5","45"
"43","Gus Edwards (FA)","16","133","711","5.3","335","2.5","376","2.8","7","5","-5","63","20","5","2","1","1","63","7","7","1","14"
"44","Tarik Cohen (FA)","16","64","213","3.3","134","2.1","79","1.2","6","9","-16","0","4","0","0","0","0","19","79","104","9","55"
"45","Matt Breida (FA)","13","123","623","5.1","402","3.3","221","1.8","8","17","-30","83","18","4","3","1","1","83","19","22","2","16"
"46","Frank Gore (FA)","16","166","599","3.6","260","1.6","339","2.0","10","18","-35","1","11","4","1","1","0","41","13","16","0","16"
"47","Kerryon Johnson (FA)","8","113","403","3.6","177","1.6","226","2.0","8","9","-16","1","8","1","0","0","0","20","10","15","1","23"
"48","Tony Pollard (TEN)","15","86","455","5.3","146","1.7","309","3.6","10","8","-19","44","12","4","2","1","0","44","15","20","6","39"
"49","Rex Burkhead (FA)","13","65","302","4.6","157","2.4","145","2.2","6","3","-3","33","8","1","1","0","0","33","27","38","4","42"
"50","Nyheim Miller-Hines (LAC)","16","52","199","3.8","118","2.3","81","1.6","2","4","-13","7","4","0","0","0","0","18","44","58","5","83"
"51","Boston Scott (FA)","11","61","245","4.0","136","2.2","109","1.8","2","5","-9","7","6","1","0","0","0","25","24","26","0","82"
"52","Chase Edmonds (FA)","13","60","303","5.1","180","3.0","123","2.1","4","7","-21","37","9","4","1","0","0","37","12","21","6","50"
"53","Rashaad Penny (FA)","10","65","370","5.7","186","2.9","184","2.8","5","4","-11","58","8","4","2","1","1","58","8","11","2","21"
"54","Kareem Hunt (KC)","9","43","179","4.2","65","1.5","114","2.7","4","6","-13","6","2","0","0","0","0","16","37","44","2","104"
"55","Alexander Mattison (MIA)","13","100","462","4.6","267","2.7","195","2.0","11","13","-26","10","15","4","1","0","0","35","10","12","0","13"
"56","Jaylen Samuels (FA)","14","66","175","2.7","49","0.7","126","1.9","3","9","-27","2","2","0","0","0","0","13","47","57","8","57"
"57","Brian Hill (FA)","12","78","323","4.1","157","2.0","166","2.1","3","7","-18","23","10","2","0","0","0","27","10","14","3","12"
"58","Malcolm Brown (FA)","14","69","255","3.7","110","1.6","145","2.1","10","8","-15","5","8","0","0","0","0","17","2","6","0","3"
"59","Benny Snell Jr. (FA)","13","108","426","3.9","125","1.2","301","2.8","7","9","-18","4","9","3","0","0","0","23","3","4","0","5"
"60","Darrel Williams (FA)","12","41","141","3.4","81","2.0","60","1.5","1","4","-10","6","2","1","1","1","0","41","15","20","2","17"
"61","Chris Thompson (FA)","11","37","138","3.7","74","2.0","64","1.7","2","3","-8","0","4","0","0","0","0","16","42","58","5","69"
"62","Derrius Guice (FA)","5","42","245","5.8","52","1.2","193","4.6","3","2","-6","1","4","3","2","1","1","60","7","9","1","15"
"63","J.D. McKissic (FA)","16","38","205","5.4","112","2.9","93","2.4","3","4","-6","0","5","2","1","1","0","44","34","42","2","70"
"64","Jordan Wilkins (FA)","14","51","307","6.0","140","2.7","167","3.3","4","2","-10","1","9","2","2","1","1","55","7","11","1","12"
"65","Mike Boone (FA)","16","49","273","5.6","93","1.9","180","3.7","2","4","-7","8","5","3","2","2","1","59","3","4","1","11"
"66","Jalen Richard (FA)","16","39","145","3.7","90","2.3","55","1.4","0","5","-9","0","4","0","0","0","0","13","36","43","3","73"
"67","Patrick Laird (FA)","15","62","168","2.7","86","1.4","82","1.3","5","11","-22","4","5","0","0","0","0","18","23","30","5","43"
"68","Jeff Wilson Jr. (FA)","11","27","105","3.9","66","2.4","39","1.4","0","1","-6","4","2","1","0","0","0","25","3","5","1","0"
"69","Bo Scarbrough (FA)","6","89","377","4.2","183","2.1","194","2.2","5","7","-20","5","6","2","1","0","0","30","1","4","0","3"
"70","Brandon Bolden (FA)","15","15","68","4.5","46","3.1","22","1.5","2","1","-5","10","3","1","0","0","0","21","9","11","0","15"
"71","Justice Hill (BAL)","16","58","225","3.9","125","2.2","100","1.7","3","3","-12","18","6","0","0","0","0","18","8","15","3","13"
"72","Dion Lewis (FA)","16","54","210","3.9","82","1.5","127","2.4","7","3","-4","0","3","0","0","0","0","17","25","32","5","37"
"73","Dare Ogunbowale (HOU)","16","11","17","1.5","5","0.5","12","1.1","1","2","-6","3","1","0","0","0","0","12","35","46","7","41"
"74","Giovani Bernard (FA)","16","53","170","3.2","66","1.2","104","2.0","6","10","-20","0","6","1","0","0","0","25","30","43","7","91"
"75","Kalen Ballage (FA)","12","74","135","1.8","50","0.7","85","1.1","1","12","-33","3","0","0","0","0","0","8","14","24","5","17"
"76","Wayne Gallman Jr. (FA)","10","29","110","3.8","72","2.5","38","1.3","0","0","0","2","3","1","0","0","0","22","11","16","3","46"
"77","Ryquell Armstead (FA)","16","35","108","3.1","18","0.5","90","2.6","2","5","-12","0","2","0","0","0","0","16","14","24","3","12"
"78","Ty Johnson (BUF)","16","63","273","4.3","120","1.9","153","2.4","5","6","-9","0","7","1","1","1","0","40","24","31","1","24"
"79","Jonathan Williams (FA)","9","49","235","4.8","102","2.1","133","2.7","7","6","-14","13","7","1","1","1","0","48","5","5","0","10"
"80","Kyle Juszczyk (SF)","12","3","7","2.3","2","0.7","5","1.7","0","1","-1","0","0","0","0","0","0","6","20","24","6","31"
"81","Qadree Ollison (FA)","8","22","50","2.3","29","1.3","21","1.0","0","1","-1","3","0","0","0","0","0","6","1","2","0","1"
"82","Mark Walton (FA)","7","53","201","3.8","91","1.7","110","2.1","1","8","-18","0","6","0","0","0","0","19","15","21","1","18"
"83","Bilal Powell (FA)","14","59","229","3.9","82","1.4","147","2.5","4","5","-14","0","6","0","0","0","0","17","7","12","2","13"
"84","Dontrell Hilliard (FA)","14","13","49","3.8","36","2.8","13","1.0","0","1","-1","4","2","0","0","0","0","11","12","15","1","18"
"85","Ito Smith (FA)","7","22","106","4.8","71","3.2","35","1.6","2","1","-1","1","4","1","0","0","0","28","11","14","2","12"
"86","Myles Gaskin (FA)","7","36","133","3.7","28","0.8","105","2.9","0","2","-6","2","3","1","0","0","0","27","7","12","2","12"
"87","Ameer Abdullah (SF)","16","23","115","5.0","77","3.3","38","1.7","2","1","-1","0","5","0","0","0","0","15","15","21","2","4"
"88","Reggie Bonnafon (FA)","16","16","116","7.3","92","5.8","24","1.5","1","1","-2","59","2","1","1","1","1","59","6","10","0","3"
"89","Darwin Thompson (FA)","12","37","128","3.5","58","1.6","70","1.9","4","5","-7","4","2","0","0","0","0","12","9","10","0","20"
"90","Justin Jackson (FA)","7","29","200","6.9","99","3.4","101","3.5","4","4","-13","0","7","3","1","1","0","40","9","11","3","10"
"91","C.J. Ham (MIN)","16","7","17","2.4","4","0.6","13","1.9","1","1","-1","0","0","0","0","0","0","9","17","26","4","72"
"92","Ty Montgomery II (FA)","16","32","103","3.2","61","1.9","42","1.3","0","4","-11","0","2","0","0","0","0","15","13","17","1","8"
"93","C.J. Prosise (FA)","9","23","72","3.1","39","1.7","33","1.4","1","5","-9","9","1","0","0","0","0","17","10","12","0","6"
"94","Darrell Henderson Jr. (FA)","13","39","147","3.8","84","2.2","63","1.6","7","4","-8","0","4","1","0","0","0","22","4","6","0","3"
"95","Travis Homer (CHI)","16","18","114","6.3","82","4.6","32","1.8","0","3","-7","0","5","1","0","0","0","29","11","13","1","14"
"96","T.J. Yeldon (FA)","6","17","63","3.7","15","0.9","48","2.8","4","3","-11","0","4","0","0","0","0","12","13","15","1","27"
"97","Wendell Smallwood (FA)","15","22","81","3.7","47","2.1","34","1.5","1","4","-8","0","3","0","0","0","0","17","9","13","4","10"
"98","Wes Hills (FA)","1","10","21","2.1","9","0.9","12","1.2","0","3","-7","1","1","0","0","0","0","15","2","2","0","0"
"99","Trey Edmunds (FA)","12","22","92","4.2","53","2.4","39","1.8","0","4","-7","0","1","1","1","1","0","45","6","7","0","9"
"100","Kerrith Whyte Jr. (FA)","6","24","122","5.1","47","2.0","75","3.1","1","3","-6","0","4","1","0","0","0","21","1","1","0","2"
"101","Alec Ingold (MIA)","16","10","17","1.7","9","0.9","8","0.8","0","1","-1","0","0","0","0","0","0","4","6","6","2","8"
"102","Darren Sproles (FA)","6","17","66","3.9","40","2.4","26","1.5","0","2","-4","0","1","0","0","0","0","17","6","10","2","6"
"103","Javorius Allen (FA)","11","10","36","3.6","-5","-0.5","41","4.1","0","3","-4","1","1","0","0","0","0","19","1","2","1","1"
"104","Andy Janovich (FA)","8","1","1","1.0","0","0.0","1","1.0","0","0","0","1","0","0","0","0","0","1","5","5","1","1"
"105","Derek Watt (FA)","16","7","10","1.4","5","0.7","5","0.7","0","1","-1","1","0","0","0","0","0","3","3","5","1","19"
"106","Danny Vitale (FA)","15","1","3","3.0","2","2.0","1","1.0","0","0","0","0","0","0","0","0","0","3","7","12","1","11"
"107","Marshawn Lynch (FA)","2","12","34","2.8","20","1.7","14","1.2","0","1","-1","1","1","0","0","0","0","15","0","0","0","0"
"108","D'Ernest Johnson (FA)","16","4","21","5.3","18","4.5","3","0.8","0","0","0","0","1","0","0","0","0","13","6","7","0","8"
"109","Kenjon Barner (FA)","14","4","28","7.0","22","5.5","6","1.5","0","0","0","0","1","0","0","0","0","12","6","8","0","4"
"110","Alex Armah Jr. (FA)","16","6","11","1.8","6","1.0","5","0.8","0","0","0","1","0","0","0","0","0","4","2","2","1","2"
"111","Troymaine Pope (FA)","14","10","20","2.0","11","1.1","9","0.9","0","2","-5","0","0","0","0","0","0","8","2","3","1","1"
"112","Spencer Ware (FA)","3","17","51","3.0","21","1.2","30","1.8","2","1","-2","0","0","0","0","0","0","6","5","7","2","7"
"113","Dwayne Washington (FA)","16","8","60","7.5","9","1.1","51","6.4","2","1","-1","0","2","1","1","0","0","31","1","1","0","0"
"114","Devontae Booker (FA)","16","2","9","4.5","0","0.0","9","4.5","1","0","0","0","0","0","0","0","0","5","6","9","1","10"
"115","Tra Carson (FA)","4","18","48","2.7","19","1.1","29","1.6","0","1","-3","0","1","0","0","0","0","12","4","4","0","2"
"116","Zach Line (FA)","12","7","20","2.9","10","1.4","10","1.4","0","0","0","0","0","0","0","0","0","5","6","10","0","12"
"117","Jon Hilliman (FA)","3","30","91","3.0","45","1.5","46","1.5","0","1","-1","0","1","0","0","0","0","10","3","4","0","3"
"118","Devine Ozigbo (FA)","10","9","27","3.0","11","1.2","16","1.8","0","1","-1","0","0","0","0","0","0","9","3","5","0","10"
"119","Taiwan Jones (FA)","11","9","40","4.4","26","2.9","14","1.6","0","0","0","0","1","0","0","0","0","11","1","1","0","0"
"120","Mike Davis (FA)","12","13","27","2.1","15","1.2","12","0.9","0","1","-1","0","0","0","0","0","0","8","7","8","2","2"
"121","Patrick DiMarco (FA)","16","3","7","2.3","1","0.3","6","2.0","0","0","0","0","0","0","0","0","0","4","5","7","0","22"
"122","Elijhaa Penny (FA)","16","15","39","2.6","16","1.1","23","1.5","1","1","-2","0","0","0","0","0","0","6","2","4","0","3"
"123","C.J. Anderson (FA)","2","16","43","2.7","6","0.4","37","2.3","1","3","-6","0","0","0","0","0","0","9","0","0","0","0"
"124","Paul Perkins (FA)","4","12","29","2.4","16","1.3","13","1.1","1","0","0","0","1","0","0","0","0","13","1","1","0","0"
"125","Anthony Sherman (FA)","16","4","9","2.3","9","2.3","0","0.0","0","0","0","0","0","0","0","0","0","5","2","3","1","13"
"126","Jay Ajayi (FA)","4","10","30","3.0","9","0.9","21","2.1","5","1","-3","0","1","0","0","0","0","11","0","1","0","0"
"127","Dalyn Dawkins (FA)","2","11","26","2.4","17","1.5","9","0.8","0","3","-9","0","1","0","0","0","0","14","0","1","0","0"
"128","T.J. Logan (FA)","12","3","10","3.3","6","2.0","4","1.3","0","0","0","0","0","0","0","0","0","6","2","3","0","3"
"129","Keith Smith (FA)","16","5","8","1.6","0","0.0","8","1.6","0","1","-1","0","0","0","0","0","0","3","1","4","0","6"
"130","Tyler Ervin (FA)","10","1","10","10.0","3","3.0","7","7.0","1","0","0","0","1","0","0","0","0","10","2","4","0","3"
"131","Zach Zenner (FA)","6","3","-2","-0.7","-2","-0.7","0","0.0","0","1","-3","0","0","0","0","0","0","1","2","3","0","0"
"132","Samaje Perine (CIN)","7","5","16","3.2","11","2.2","5","1.0","1","0","0","0","0","0","0","0","0","9","0","0","0","0"
"133","Josh Adams (FA)","3","8","12","1.5","5","0.6","7","0.9","0","2","-6","0","1","0","0","0","0","10","0","0","0","0"
"134","Damien Harris (FA)","2","4","12","3.0","8","2.0","4","1.0","0","1","-4","0","1","0","0","0","0","13","0","0","0","0"
"135","Dexter Williams (FA)","4","5","11","2.2","6","1.2","5","1.0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"136","Buddy Howell (FA)","16","5","10","2.0","7","1.4","3","0.6","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"137","John Kelly Jr. (FA)","5","3","9","3.0","5","1.7","4","1.3","0","0","0","0","0","0","0","0","0","6","0","0","0","0"
"138","Josh Ferguson (FA)","2","3","9","3.0","0","0.0","0","0.0","0","1","-2","0","0","0","0","0","0","7","0","0","0","0"
"139","Jordan Scarlett (FA)","9","4","9","2.3","4","1.0","5","1.3","0","0","0","0","0","0","0","0","0","6","0","0","0","0"
"140","Ryan Nall (FA)","8","2","8","4.0","3","1.5","5","2.5","0","0","0","0","0","0","0","0","0","7","0","0","0","0"
"141","Tony Brooks-James (FA)","3","8","7","0.9","-11","-1.4","18","2.3","2","2","-5","0","0","0","0","0","0","8","0","0","0","0"
"142","De'Lance Turner (FA)","9","4","6","1.5","1","0.3","5","1.3","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"143","Alfred Morris (FA)","1","1","4","4.0","2","2.0","2","2.0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"144","Senorise Perry (FA)","11","3","3","1.0","0","0.0","3","1.0","1","2","-3","0","0","0","0","0","0","6","1","1","1","0"
"145","James Develin (FA)","2","2","3","1.5","3","1.5","0","0.0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
""
""
