"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"140","Olamide Zaccheaus (CHI)","10","3","115","38.3","52","17.3","0","0.0","63","21.0","45","15.0","1","5","0.8%","3","0","0","3","1","1","1","1","93"
"141","Devin Smith (FA)","4","5","113","22.6","81","16.2","0","0.0","32","6.4","20","4.0","1","9","1.6%","5","0","2","3","2","2","1","1","51"
"142","DeAndre Carter (CLE)","16","11","162","14.7","105","9.5","0","0.0","57","5.2","12","1.1","0","14","2.7%","12","0","2","4","4","2","1","0","46"
"143","Keelan Doss (FA)","8","11","133","12.1","76","6.9","0","0.0","57","5.2","19","1.7","0","14","2.9%","12","1","1","6","1","1","0","0","31"
"144","Mack Hollins (NE)","16","10","125","12.5","92","9.2","0","0.0","33","3.3","7","0.7","0","23","3.8%","12","1","5","7","1","0","0","0","20"
"145","Deon Cain (BUF)","13","9","124","13.8","102","11.3","0","0.0","22","2.4","14","1.6","0","20","4.1%","10","1","1","5","3","1","0","0","35"
"146","Antonio Brown (FA)","1","4","56","14.0","49","12.3","0","0.0","7","1.8","3","0.8","1","8","1.4%","4","0","4","3","1","0","0","0","20"
"147","Rashard Higgins (FA)","10","4","55","13.8","46","11.5","0","0.0","9","2.3","6","1.5","0","11","2.1%","5","1","3","2","1","1","0","0","35"
"148","Brandon Zylstra (FA)","8","8","106","13.3","96","12.0","0","0.0","10","1.3","3","0.4","0","12","2.0%","8","0","1","4","2","1","1","0","40"
"149","T.J. Jones (FA)","3","3","38","12.7","15","5.0","0","0.0","23","7.7","0","0.0","0","4","0.7%","3","0","1","1","1","0","0","0","28"
"150","J.J. Nelson (FA)","2","4","36","9.0","21","5.3","0","0.0","15","3.8","2","0.5","0","5","1.0%","4","0","0","1","1","0","0","0","29"
"151","Marcell Ateman (FA)","12","5","116","23.2","97","19.4","0","0.0","19","3.8","8","1.6","0","10","2.0%","6","1","1","4","3","2","0","0","36"
"152","Braxton Berrios (HOU)","16","6","115","19.2","28","4.7","0","0.0","87","14.5","9","1.5","1","13","2.6%","7","1","0","3","2","1","1","1","69"
"153","Deonte Harty (FA)","14","6","24","4.0","-13","-2.2","0","0.0","37","6.2","11","1.8","1","6","1.1%","6","0","0","1","0","0","0","0","13"
