"Rank","Player","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"62","Lee Smith (FA)","1","1","100.0%","8","8.0","1","12.5%","0","0","0","0%","0","16","6.8","0.4","0.0%"
"63","Stephen Carlson (CHI)","1","1","100.0%","8","8.0","1","5.9%","0","0","0","0%","0","9","6.8","0.8","0.0%"
"64","Cethan Carter (FA)","1","1","100.0%","8","8.0","1","4.8%","0","0","0","0%","0","15","6.8","0.5","0.0%"
"65","Dan Arnold (FA)","1","1","100.0%","6","6.0","1","10.0%","0","0","0","0%","0","6","6.6","1.1","0.0%"
"66","Hale Hentges (FA)","1","3","33.3%","6","6.0","1","30.0%","0","0","0","0%","0","11","6.6","0.6","0.0%"
"67","Ian Thomas (LV)","2","2","100.0%","5","2.5","1","15.4%","0","0","0","0%","0","16","6.5","0.4","0.0%"
"68","David Njoku (CLE)","1","2","50.0%","3","3.0","1","11.8%","0","0","0","0%","0","4","6.3","1.6","91.8%"
"69","Troy Fumagalli (FA)","1","1","100.0%","3","3.0","1","5.3%","0","0","0","0%","0","11","6.3","0.6","0.0%"
"70","Blake Jarwin (FA)","1","2","50.0%","1","1.0","1","16.7%","0","0","0","0%","0","16","6.1","0.4","4.0%"
"71","Jeremy Sprinkle (FA)","1","3","33.3%","1","1.0","1","30.0%","0","0","0","0%","0","16","6.1","0.4","0.0%"
"72","Marcedes Lewis (FA)","1","2","50.0%","1","1.0","1","13.3%","0","0","0","0%","0","16","6.1","0.4","0.0%"
"73","Sean Culkin (FA)","1","1","100.0%","12","12.0","0","6.7%","0","0","0","0%","0","4","1.2","0.3","0.0%"
"74","Seth DeValve (FA)","1","4","25.0%","11","11.0","0","28.6%","0","0","0","0%","0","12","1.1","0.1","0.0%"
"75","Jesse James (FA)","2","2","100.0%","11","5.5","0","11.8%","0","0","0","0%","0","16","1.1","0.1","0.0%"
"76","Vernon Davis (FA)","2","3","66.7%","11","5.5","0","30.0%","0","0","0","0%","0","4","1.1","0.3","1.6%"
"77","Scott Simonson (FA)","1","1","100.0%","10","10.0","0","5.3%","0","0","0","0%","0","6","1.0","0.2","0.0%"
"78","Pharaoh Brown (MIA)","1","1","100.0%","9","9.0","0","5.9%","0","0","0","0%","0","9","0.9","0.1","0.1%"
"79","Nick Vannett (MIN)","1","2","50.0%","7","7.0","0","18.2%","0","0","0","0%","0","16","0.7","0.0","0.0%"
"80","J.P. Holtz (FA)","1","1","100.0%","7","7.0","0","10.0%","0","0","0","0%","0","15","0.7","0.0","0.0%"
"81","Benjamin Watson (FA)","3","3","100.0%","6","2.0","0","37.5%","0","0","0","0%","0","10","0.6","0.1","2.8%"
"82","Josh Oliver (MIN)","1","1","100.0%","6","6.0","0","7.1%","0","0","0","0%","0","4","0.6","0.2","1.0%"
"83","Geoff Swaim (FA)","1","2","50.0%","5","5.0","0","14.3%","0","0","0","0%","0","6","0.5","0.1","0.0%"
"84","Andrew Beck (NYJ)","2","2","100.0%","4","2.0","0","10.5%","0","0","0","0%","0","16","0.4","0.0","0.0%"
"85","Rhett Ellison (FA)","1","2","50.0%","3","3.0","0","10.5%","0","0","0","0%","0","10","0.3","0.0","0.0%"
"86","Tommy Sweeney (FA)","1","1","100.0%","3","3.0","0","12.5%","0","0","0","0%","0","6","0.3","0.1","0.0%"
"87","Luke Stocker (FA)","1","2","50.0%","2","2.0","0","10.5%","0","0","0","0%","0","15","0.2","0.0","1.2%"
"88","Levine Toilolo (FA)","1","1","100.0%","2","2.0","0","4.8%","0","0","0","0.0%","0","13","0.2","0.0","0.0%"
"89","Lance Kendricks (FA)","0","1","0.0%","0","0","0","6.7%","0","0","0","0%","0","12","0.0","0.0","1.2%"
"90","Jace Sternberger (FA)","0","1","0.0%","0","0","0","6.7%","0","0","0","0%","0","6","0.0","0.0","0.0%"
"91","Isaac Nauta (FA)","0","1","0.0%","0","0","0","5.9%","0","0","0","0%","0","6","0.0","0.0","0.0%"
"92","Mo Alie-Cox (IND)","0","1","0.0%","0","0","0","3.8%","0","0","0","0%","0","16","0.0","0.0","0.6%"
"93","Antony Auclair (FA)","0","1","0.0%","0","0","0","5.9%","0","0","0","0%","0","8","0.0","0.0","0.0%"
"94","Trey Burton (FA)","0","2","0.0%","0","0","0","22.2%","0","0","0","0%","0","9","0.0","0.0","0.0%"
"95","MyCole Pruitt (FA)","0","1","0.0%","0","0","0","6.3%","0","0","0","0.0%","0","16","0.0","0.0","1.0%"
"96","Ross Travis (FA)","0","1","0.0%","0","0","0","3.8%","0","0","0","0%","0","3","0.0","0.0","0.0%"
"97","Tanner Hudson (CIN)","0","2","0.0%","0","0","0","11.8%","0","0","0","0%","0","9","0.0","0.0","1.2%"
"98","Adam Shaheen (FA)","0","3","0.0%","0","0","0","33.3%","0","0","0","0%","0","8","0.0","0.0","0.0%"
"99","Luke Willson (FA)","0","1","0.0%","0","0","0","6.3%","0","0","0","0%","0","9","0.0","0.0","0.0%"
""
""
