"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"16","Najee Harris (LAC)","38","96","2.5","7","67.9%","1","1","100.0%","4","4.0","0","12.5%","0","17","52.0","3.1","68.3%"
"17","Zack Moss (FA)","40","111","2.8","4","49.4%","4","7","57.1%","37","9.3","2","58.3%","0","14","50.8","3.6","16.3%"
"18","D'Andre Swift (CHI)","38","123","3.2","5","60.3%","5","5","100.0%","21","4.2","1","100.0%","0","16","50.4","3.2","90.2%"
"19","Kenneth Walker III (SEA)","38","76","2.0","7","62.3%","2","3","66.7%","-4","-2.0","0","75.0%","0","15","49.2","3.3","95.3%"
"20","Rachaad White (TB)","37","88","2.4","6","88.1%","7","8","87.5%","38","5.4","0","88.9%","0","17","48.6","2.9","67.5%"
"21","Bijan Robinson (ATL)","22","67","3.0","4","33.8%","6","9","66.7%","39","6.5","2","64.3%","0","17","46.6","2.7","98.7%"
"22","Brian Robinson Jr. (WAS)","25","96","3.8","5","59.5%","4","4","100.0%","-2","-0.5","1","44.4%","0","15","45.4","3.0","87.1%"
"23","Tony Pollard (TEN)","57","161","2.8","4","72.2%","10","11","90.9%","29","2.9","0","73.3%","0","17","43.0","2.5","88.9%"
"24","Jerome Ford (CLE)","16","24","1.5","3","26.7%","5","6","83.3%","32","6.4","3","85.7%","0","17","41.6","2.4","51.2%"
"25","Saquon Barkley (PHI)","38","59","1.6","4","79.2%","4","5","80.0%","11","2.8","2","100.0%","1","14","41.0","2.9","99.0%"
"26","Josh Jacobs (GB)","37","69","1.9","5","75.5%","5","7","71.4%","22","4.4","0","63.6%","0","13","39.1","3.0","98.5%"
"27","Jerick McKinnon (FA)","3","6","2.0","1","5.8%","5","5","100.0%","40","8.0","4","27.8%","0","12","38.8","3.2","0.0%"
"28","Chuba Hubbard (CAR)","36","86","2.4","5","73.5%","0","1","0.0%","0","0","0","25.0%","0","17","38.6","2.3","95.0%"
"29","Ezekiel Elliott (FA)","22","47","2.1","3","52.4%","3","5","60.0%","32","10.7","2","45.5%","0","17","37.9","2.2","5.0%"
"30","D'Onta Foreman (FA)","17","47","2.8","4","37.0%","2","2","100.0%","14","7.0","1","15.4%","0","9","36.1","4.0","2.7%"
"31","James Cook (BUF)","29","86","3.0","1","45.3%","4","6","66.7%","32","8.0","3","60.0%","0","17","35.8","2.1","97.6%"
"32","Javonte Williams (DAL)","41","96","2.3","2","69.5%","3","3","100.0%","10","3.3","2","21.4%","0","16","34.6","2.2","72.2%"
"33","Austin Ekeler (WAS)","27","47","1.7","5","56.3%","6","9","66.7%","12","2.0","0","75.0%","1","14","33.9","2.4","62.0%"
"34","Breece Hall (NYJ)","22","56","2.5","2","62.9%","5","7","71.4%","42","8.4","2","63.6%","0","17","33.8","2.0","96.3%"
"35","Justice Hill (BAL)","24","69","2.9","3","32.4%","2","2","100.0%","22","11.0","1","28.6%","0","16","33.1","2.1","20.8%"
"36","Devin Singletary (NYG)","31","87","2.8","3","51.7%","3","4","75.0%","15","5.0","0","44.4%","0","17","32.4","1.9","4.7%"
"37","Rico Dowdle (CAR)","15","34","2.3","2","19.0%","3","4","75.0%","28","9.3","2","26.7%","0","16","30.2","1.9","35.2%"
"38","Latavius Murray (FA)","20","41","2.1","4","31.3%","3","3","100.0%","10","3.3","0","30.0%","0","15","29.1","1.9","0.0%"
"39","Tyler Allgeier (ATL)","35","103","2.9","3","53.8%","1","2","50.0%","0","0.0","0","14.3%","0","17","28.3","1.7","43.1%"
"40","Rhamondre Stevenson (NE)","19","59","3.1","3","45.2%","3","4","75.0%","25","8.3","0","36.4%","0","12","26.4","2.2","77.0%"
"41","Jaylen Warren (PIT)","18","71","3.9","3","32.1%","5","5","100.0%","16","3.2","0","62.5%","1","17","24.7","1.5","85.0%"
"42","Khalil Herbert (IND)","14","47","3.4","2","30.4%","2","4","50.0%","7","3.5","1","30.8%","0","12","23.4","2.0","3.9%"
"43","Aaron Jones Sr. (MIN)","31","101","3.3","2","40.8%","6","9","66.7%","10","1.7","0","69.2%","0","11","23.1","2.1","90.1%"
"44","Alexander Mattison (MIA)","23","21","0.9","0","56.1%","5","11","45.5%","26","5.2","3","68.8%","0","16","22.7","1.4","8.4%"
"45","Ty Chandler (MIN)","11","24","2.2","3","26.8%","3","3","100.0%","22","7.3","0","18.8%","0","16","22.6","1.4","4.8%"
"46","Antonio Gibson (NE)","9","26","2.9","1","21.4%","4","5","80.0%","26","6.5","2","55.6%","1","16","21.2","1.3","12.7%"
"47","A.J. Dillon (PHI)","36","79","2.2","2","47.4%","1","1","100.0%","1","1.0","0","7.7%","0","15","20.0","1.3","5.6%"
"48","Jaleel McLaughlin (DEN)","7","21","3.0","1","11.9%","6","7","85.7%","39","6.5","1","50.0%","0","17","18.0","1.1","8.5%"
"49","Salvon Ahmed (IND)","6","21","3.5","1","7.0%","5","5","100.0%","33","6.6","1","23.8%","0","8","17.4","2.2","0.0%"
"50","Roschon Johnson (CHI)","10","26","2.6","2","21.7%","3","4","75.0%","15","5.0","0","30.8%","0","15","16.1","1.1","21.0%"
"51","Kenneth Gainwell (PIT)","24","56","2.3","2","38.1%","0","0","0%","0","0","0","0.0%","1","16","15.6","1.0","2.1%"
"52","Dameon Pierce (HOU)","23","26","1.1","2","38.3%","1","1","100.0%","9","9.0","0","11.1%","0","14","15.5","1.1","10.6%"
"53","Cam Akers (NO)","7","24","3.4","2","17.1%","1","2","50.0%","-3","-3.0","0","12.5%","0","7","14.1","2.0","2.9%"
"54","Clyde Edwards-Helaire (NO)","7","11","1.6","1","13.5%","3","4","75.0%","9","3.0","1","22.2%","0","15","14.0","0.9","4.3%"
"55","Chris Rodriguez Jr. (WAS)","7","18","2.6","2","16.7%","0","0","0%","0","0","0","0.0%","0","11","13.8","1.3","1.1%"
"56","Darrell Henderson Jr. (FA)","5","9","1.8","2","6.8%","2","3","66.7%","8","4.0","0","18.8%","0","4","13.7","3.4","0.0%"
"57","Jordan Mason (MIN)","5","17","3.4","2","6.2%","0","0","0%","0","0","0","0.0%","0","16","13.7","0.9","73.6%"
"58","Tank Bigsby (JAC)","8","14","1.8","2","15.7%","0","0","0%","0","0","0","0.0%","0","16","13.4","0.8","69.2%"
"59","Tony Jones Jr. (FA)","5","10","2.0","2","11.9%","0","1","0.0%","0","0","0","14.3%","0","6","13.0","2.2","0.0%"
"60","Samaje Perine (CIN)","11","48","4.4","1","18.6%","3","3","100.0%","19","6.3","0","21.4%","0","17","12.7","0.7","3.6%"
"61","Tyjae Spears (TEN)","10","34","3.4","1","22.7%","3","6","50.0%","12","4.0","0","75.0%","0","17","10.6","0.6","64.2%"
"62","Joshua Kelley (FA)","13","40","3.1","1","27.1%","1","1","100.0%","0","0.0","0","8.3%","0","17","10.0","0.6","0.0%"
"63","Darrynton Evans (BUF)","5","30","6.0","1","10.9%","1","2","50.0%","8","8.0","0","15.4%","0","6","9.8","1.6","0.0%"
"64","Royce Freeman (FA)","13","33","2.5","1","17.8%","0","0","0%","0","0","0","0.0%","0","11","9.3","0.8","0.0%"
"65","Michael Carter (ARI)","4","18","4.5","0","11.4%","3","4","75.0%","13","4.3","1","36.4%","0","15","9.1","0.6","1.1%"
"66","Kyle Juszczyk (SF)","2","3","1.5","0","2.5%","5","5","100.0%","28","5.6","1","20.8%","0","17","9.1","0.5","0.9%"
"67","Emari Demercado (ARI)","3","19","6.3","1","7.1%","0","1","0.0%","0","0","0","14.3%","0","14","7.9","0.6","1.1%"
"68","Kevin Harris (FA)","1","18","18.0","1","2.4%","0","0","0%","0","0","0","0.0%","0","4","7.8","2.0","0.0%"
"69","Damien Harris (FA)","6","16","2.7","1","9.4%","0","0","0%","0","0","0","0.0%","0","7","7.6","1.1","4.6%"
"70","Matt Breida (FA)","8","15","1.9","1","16.7%","0","0","0%","0","0","0","0.0%","0","15","7.5","0.5","0.0%"
"71","Zach Charbonnet (SEA)","21","15","0.7","1","34.4%","0","1","0.0%","0","0","0","25.0%","0","16","7.5","0.5","77.6%"
"72","Elijah Mitchell (KC)","9","19","2.1","1","11.1%","1","2","50.0%","-5","-5.0","0","8.3%","0","11","7.4","0.7","5.3%"
"73","Cordarrelle Patterson (FA)","8","12","1.5","0","12.3%","1","2","50.0%","2","2.0","1","14.3%","0","12","7.4","0.6","0.9%"
"74","Miles Sanders (DAL)","11","10","0.9","1","22.4%","2","3","66.7%","4","2.0","0","75.0%","0","16","7.4","0.5","10.9%"
"75","J.K. Dobbins (DEN)","1","4","4.0","1","1.4%","1","1","100.0%","5","5.0","0","14.3%","0","1","6.9","6.9","73.4%"
"76","Patrick Ricard (BAL)","0","0","0","0","0.0%","2","3","66.7%","7","3.5","1","42.9%","0","17","6.7","0.4","0.8%"
"77","Hunter Luepke (DAL)","2","4","2.0","1","2.5%","0","0","0%","0","0","0","0.0%","0","17","6.4","0.4","0.7%"
"78","Craig Reynolds (DET)","7","23","3.3","1","7.4%","0","0","0%","0","0","0","0.0%","1","15","6.3","0.4","1.1%"
"79","Nick Bawden (FA)","1","1","1.0","1","2.9%","0","0","0%","0","0","0","0.0%","0","6","6.1","1.0","0.0%"
"80","Melvin Gordon III (FA)","6","1","0.2","1","8.1%","0","0","0%","0","0","0","0.0%","0","4","6.1","1.5","0.0%"
"81","Pierre Strong Jr. (CLE)","6","0","0.0","1","10.0%","0","0","0%","0","0","0","0.0%","0","17","6.0","0.4","1.1%"
"82","Zamir White (LV)","10","9","0.9","1","20.4%","2","2","100.0%","7","3.5","0","18.2%","1","15","5.6","0.4","11.0%"
"83","Isaiah Spiller (FA)","7","24","3.4","0","14.6%","2","2","100.0%","14","7.0","0","16.7%","0","9","3.8","0.4","0.0%"
"84","Jamaal Williams (FA)","10","33","3.3","0","20.8%","1","1","100.0%","3","3.0","0","11.1%","0","13","3.6","0.3","1.1%"
"85","Jeff Wilson Jr. (FA)","8","33","4.1","0","9.3%","0","1","0.0%","0","0","0","4.8%","0","9","3.3","0.4","1.0%"
"86","Alec Ingold (MIA)","0","0","0","0","0.0%","3","3","100.0%","22","7.3","0","14.3%","0","17","2.2","0.1","0.6%"
"87","Ty Montgomery II (FA)","0","0","0","0","0.0%","2","2","100.0%","20","10.0","0","18.2%","0","11","2.0","0.2","0.0%"
"88","Nick Chubb (HOU)","3","20","6.7","0","5.0%","0","0","0%","0","0","0","0.0%","0","2","2.0","1.0","44.9%"
"89","Leonard Fournette (FA)","4","17","4.3","0","6.3%","0","0","0%","0","0","0","0.0%","0","2","1.7","0.9","0.0%"
"90","Tyler Goodson (IND)","4","10","2.5","0","4.9%","1","1","100.0%","7","7.0","0","8.3%","0","6","1.7","0.3","1.5%"
"91","Patrick Taylor Jr. (SF)","8","17","2.1","0","10.5%","2","3","66.7%","-4","-2.0","0","23.1%","0","11","1.3","0.1","0.7%"
"92","Deon Jackson (FA)","4","13","3.3","0","4.9%","0","0","0%","0","0","0","0.0%","0","2","1.3","0.7","0.0%"
"93","Chase Brown (CIN)","7","3","0.4","0","11.1%","1","1","100.0%","8","8.0","0","6.7%","0","12","1.1","0.1","96.0%"
"94","Deuce Vaughn (DAL)","5","11","2.2","0","6.3%","0","0","0%","0","0","0","0.0%","0","7","1.1","0.2","1.5%"
"95","Anthony McFarland Jr. (FA)","0","0","0","0","0.0%","2","2","100.0%","11","5.5","0","25.0%","0","3","1.1","0.4","1.1%"
"96","D'Ernest Johnson (BAL)","5","10","2.0","0","9.8%","0","0","0%","0","0","0","0.0%","0","16","1.0","0.1","1.0%"
"97","Dalvin Cook (FA)","8","10","1.3","0","22.9%","0","0","0%","0","0","0","0.0%","0","14","1.0","0.1","0.6%"
"98","Ty Johnson (BUF)","5","10","2.0","0","7.8%","1","1","100.0%","-1","-1.0","0","10.0%","0","9","0.9","0.1","3.5%"
"99","Keaontay Ingram (KC)","2","7","3.5","0","4.8%","0","0","0%","0","0","0","0.0%","0","7","0.7","0.1","0.0%"
"100","Brandon Bolden (FA)","2","6","3.0","0","4.1%","0","0","0%","0","0","0","0.0%","0","5","0.6","0.1","0.0%"
"101","Trayveon Williams (CLE)","1","2","2.0","0","1.6%","1","1","100.0%","3","3.0","0","6.7%","0","16","0.5","0.0","0.0%"
"102","Trey Sermon (PIT)","2","4","2.0","0","2.5%","0","0","0%","0","0","0","0.0%","0","8","0.4","0.1","0.6%"
"103","Khari Blasingame (FA)","0","0","0","0","0.0%","1","1","100.0%","4","4.0","0","7.7%","0","8","0.4","0.1","0.0%"
"104","Michael Burton (DEN)","0","0","0","0","0.0%","1","1","100.0%","4","4.0","0","7.1%","0","17","0.4","0.0","0.1%"
"105","Dare Ogunbowale (HOU)","2","3","1.5","0","3.3%","0","0","0%","0","0","0","0.0%","0","10","0.3","0.0","1.5%"
"106","Emanuel Wilson (GB)","1","3","3.0","0","1.3%","0","0","0%","0","0","0","0.0%","0","7","0.3","0.0","2.5%"
"107","Keaton Mitchell (BAL)","4","2","0.5","0","5.4%","0","1","0.0%","0","0","0","14.3%","0","7","0.2","0.0","14.2%"
"108","Raheem Blackshear (CAR)","2","2","1.0","0","4.1%","0","0","0%","0","0","0","0.0%","0","11","0.2","0.0","1.0%"
"109","Eric Gray (NYG)","1","2","2.0","0","2.1%","0","0","0%","0","0","0","0.0%","0","14","0.2","0.0","0.6%"
"110","Ameer Abdullah (SF)","0","0","0","0","0.0%","1","2","50.0%","1","1.0","0","18.2%","0","16","0.1","0.0","0.6%"
"111","Jashaun Corbin (ATL)","1","1","1.0","0","2.1%","0","0","0%","0","0","0","0.0%","0","3","0.1","0.0","0.0%"
"112","Elijah Dotson (ATL)","1","1","1.0","0","2.1%","0","0","0%","0","0","0","0.0%","0","1","0.1","0.1","0.0%"
"113","Chris Brooks (GB)","2","0","0.0","0","2.3%","0","0","0%","0","0","0","0.0%","0","3","0.0","0.0","0.8%"
"114","Mike Boone (FA)","1","0","0.0","0","1.7%","0","0","0%","0","0","0","0.0%","0","9","0.0","0.0","1.0%"
"115","Corey Clement (FA)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","2","0.0","0.0","0.0%"
"116","Derrick Gore (FA)","1","0","0.0","0","2.4%","0","0","0%","0","0","0","0.0%","0","3","0.0","0.0","0.0%"
"117","Bryant Koback (FA)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","1","0.0","0.0","0.0%"
"118","Keith Smith (FA)","0","0","0","0","0.0%","1","1","100.0%","-1","-1.0","0","7.1%","0","11","-0.1","0.0","0.0%"
"119","Ke'Shawn Vaughn (FA)","1","-2","-2.0","0","2.4%","0","1","0.0%","0","0","0","11.1%","0","5","-0.2","0.0","0.0%"
"120","DeeJay Dallas (ARI)","2","-2","-1.0","0","3.3%","0","0","0%","0","0","0","0.0%","0","17","-0.2","0.0","0.1%"
"121","Chase Edmonds (FA)","4","-4","-1.0","0","9.5%","0","0","0%","0","0","0","0.0%","0","13","-0.4","0.0","0.0%"
"122","Boston Scott (FA)","1","-7","-7.0","0","1.6%","0","0","0%","0","0","0","0.0%","0","12","-0.7","-0.1","0.0%"
""
""
