"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"33","Adrian Peterson (FA)","16","156","604","3.9","346","2.2","258","1.7","11","11","-23","5","13","4","1","0","0","38","12","18","1","14"
"34","J.D. McKissic (FA)","16","85","365","4.3","178","2.1","187","2.2","9","9","-28","2","13","0","0","0","0","17","80","110","8","104"
"35","Austin Ekeler (WAS)","10","116","530","4.6","273","2.4","257","2.2","13","10","-15","12","15","2","0","0","0","27","54","65","8","116"
"36","Giovani Bernard (FA)","16","124","416","3.4","189","1.5","227","1.8","8","10","-27","12","9","0","0","0","0","15","47","59","9","81"
"37","Devin Singletary (NYG)","16","156","687","4.4","234","1.5","453","2.9","9","18","-40","51","21","3","1","1","1","51","38","50","7","76"
"38","Jamaal Williams (FA)","14","119","505","4.2","276","2.3","229","1.9","5","5","-13","13","11","1","0","0","0","25","31","35","3","74"
"39","Leonard Fournette (FA)","13","97","367","3.8","166","1.7","201","2.1","0","9","-19","46","6","3","1","1","0","46","36","47","8","65"
"40","Jerick McKinnon (FA)","16","81","319","3.9","191","2.4","128","1.6","3","13","-29","16","9","1","1","1","1","55","33","46","6","43"
"41","Tony Pollard (TEN)","16","101","435","4.3","186","1.8","249","2.5","8","14","-19","42","10","4","2","2","0","42","28","40","8","71"
"42","Cam Akers (NO)","12","145","625","4.3","321","2.2","304","2.1","6","14","-30","9","12","4","3","2","1","61","11","14","2","24"
"43","Zack Moss (FA)","13","112","481","4.3","204","1.8","277","2.5","13","10","-28","8","12","4","1","0","0","31","14","18","2","33"
"44","Damien Harris (FA)","10","137","691","5.0","429","3.1","262","1.9","12","7","-18","22","20","4","1","1","0","41","5","7","1","12"
"45","Malcolm Brown (FA)","16","101","419","4.1","271","2.7","148","1.5","7","11","-19","7","12","0","0","0","0","19","23","33","4","45"
"46","Frank Gore (FA)","15","187","653","3.5","277","1.5","376","2.0","8","17","-28","1","13","0","0","0","0","17","16","19","2","17"
"47","Raheem Mostert (LV)","8","104","521","5.0","346","3.3","175","1.7","5","9","-28","80","11","2","2","1","1","80","16","19","0","18"
"48","Rex Burkhead (FA)","10","67","274","4.1","175","2.6","99","1.5","5","8","-12","5","6","0","0","0","0","18","25","33","6","21"
"49","Joe Mixon (HOU)","6","119","428","3.6","229","1.9","199","1.7","3","15","-29","34","6","3","1","0","0","34","21","26","3","59"
"50","Alexander Mattison (MIA)","13","96","434","4.5","201","2.1","233","2.4","10","8","-16","4","12","4","0","0","0","25","13","15","0","41"
"51","Christian McCaffrey (SF)","3","59","225","3.8","96","1.6","129","2.2","9","6","-12","7","4","0","0","0","0","15","17","19","1","42"
"52","Boston Scott (FA)","16","80","374","4.7","217","2.7","157","2.0","10","6","-18","56","9","2","1","1","1","56","25","36","5","37"
"53","Brian Hill (FA)","16","100","465","4.7","206","2.1","259","2.6","6","8","-21","35","9","3","2","1","1","62","25","30","1","37"
"54","Carlos Hyde (FA)","10","81","356","4.4","172","2.1","184","2.3","4","8","-21","50","9","2","1","1","1","50","16","20","0","22"
"55","Devontae Booker (FA)","16","93","423","4.5","236","2.5","187","2.0","5","4","-10","23","8","4","1","1","0","43","17","21","3","22"
"56","Sony Michel (FA)","9","79","449","5.7","164","2.1","285","3.6","9","6","-9","1","12","4","2","1","0","48","7","9","0","35"
"57","James White (FA)","14","35","121","3.5","78","2.2","43","1.2","1","3","-7","7","1","0","0","0","0","10","49","62","6","71"
"58","Kalen Ballage (FA)","11","91","303","3.3","157","1.7","146","1.6","4","8","-23","5","4","0","0","0","0","17","29","37","4","47"
"59","Benny Snell Jr. (FA)","16","111","368","3.3","160","1.4","208","1.9","6","12","-21","1","8","3","1","0","0","30","10","14","2","35"
"60","Kyle Juszczyk (SF)","16","17","64","3.8","35","2.1","29","1.7","0","0","0","7","1","0","0","0","0","10","19","29","7","28"
"61","Phillip Lindsay (FA)","11","118","502","4.3","316","2.7","186","1.6","5","14","-30","55","13","6","1","1","1","55","7","14","1","13"
"62","Le'Veon Bell (FA)","11","82","328","4.0","163","2.0","165","2.0","9","6","-17","12","10","0","0","0","0","16","16","20","5","46"
"63","Joshua Kelley (FA)","14","111","354","3.2","183","1.6","171","1.5","7","15","-29","5","4","3","1","0","0","33","23","23","2","28"
"64","Salvon Ahmed (IND)","6","75","319","4.3","245","3.3","74","1.0","4","8","-16","16","9","1","1","0","0","31","11","14","1","13"
"65","Duke Johnson Jr. (FA)","11","77","235","3.1","119","1.5","116","1.5","5","7","-12","1","4","1","0","0","0","23","28","35","8","51"
"66","Samaje Perine (CIN)","16","63","301","4.8","149","2.4","152","2.4","5","5","-7","46","9","1","1","1","0","46","11","12","4","22"
"67","Kerryon Johnson (FA)","16","52","181","3.5","116","2.2","65","1.3","3","5","-7","2","1","0","0","0","0","14","19","26","2","28"
"68","Peyton Barber (FA)","16","94","258","2.7","144","1.5","114","1.2","4","6","-10","3","5","0","0","0","0","15","4","7","0","1"
"69","Jordan Wilkins (FA)","15","84","308","3.7","148","1.8","160","1.9","10","5","-13","1","7","1","0","0","0","22","12","16","2","19"
"70","Ty Johnson (BUF)","13","54","254","4.7","155","2.9","99","1.8","1","1","-5","1","4","1","1","0","0","34","16","21","1","50"
"71","Mark Ingram II (FA)","11","72","299","4.2","173","2.4","126","1.8","6","3","-5","30","5","2","1","0","0","30","6","8","2","8"
"72","Justin Jackson (FA)","9","59","270","4.6","174","2.9","96","1.6","2","6","-10","0","7","3","2","0","0","36","19","24","0","83"
"73","La'Mical Perine (FA)","10","64","232","3.6","132","2.1","100","1.6","2","5","-8","5","5","1","0","0","0","20","11","15","1","11"
"74","Ito Smith (FA)","14","63","268","4.3","179","2.8","89","1.4","2","3","-4","8","4","1","0","0","0","24","17","26","7","20"
"75","DeeJay Dallas (ARI)","12","34","108","3.2","47","1.4","61","1.8","2","5","-9","4","2","0","0","0","0","13","17","20","3","33"
"76","A.J. Dillon (PHI)","11","46","242","5.3","100","2.2","142","3.1","6","2","-4","30","5","2","1","0","0","30","2","2","1","5"
"77","Dion Lewis (FA)","16","29","115","4.0","67","2.3","48","1.7","1","1","-1","1","4","0","0","0","0","19","19","30","5","20"
"78","Alfred Morris (FA)","9","55","238","4.3","115","2.1","123","2.2","3","3","-4","4","8","1","0","0","0","20","3","4","1","7"
"79","Darrel Williams (FA)","16","39","169","4.3","104","2.7","65","1.7","0","1","-3","13","6","0","0","0","0","13","18","26","2","26"
"80","Matt Breida (FA)","12","59","254","4.3","162","2.7","92","1.6","2","2","-3","0","5","1","0","0","0","24","9","10","0","17"
"81","Jalen Richard (FA)","13","22","123","5.6","76","3.5","47","2.1","1","0","0","20","3","1","0","0","0","20","19","23","4","31"
"82","Jeremy McNichols (WAS)","16","47","204","4.3","103","2.2","101","2.1","5","5","-10","1","6","1","0","0","0","20","12","17","6","12"
"83","Josh Adams (FA)","8","29","157","5.4","52","1.8","105","3.6","4","1","-3","2","5","1","0","0","0","25","6","8","0","9"
"84","Jordan Howard (FA)","7","35","60","1.7","12","0.3","48","1.4","1","6","-10","2","1","0","0","0","0","11","1","1","0","0"
"85","Devonta Freeman (FA)","5","54","172","3.2","104","1.9","68","1.3","2","7","-12","4","2","0","0","0","0","14","7","10","2","1"
"86","Rodney Smith (FA)","7","41","156","3.8","80","2.0","76","1.9","5","5","-11","1","3","0","0","0","0","13","9","11","1","14"
"87","Darwin Thompson (FA)","13","27","97","3.6","54","2.0","43","1.6","1","1","-2","1","4","0","0","0","0","14","7","11","2","6"
"88","Royce Freeman (FA)","16","35","170","4.9","94","2.7","76","2.2","2","0","0","0","5","2","0","0","0","23","12","13","3","20"
"89","JaMycal Hasty (FA)","8","39","148","3.8","105","2.7","43","1.1","0","3","-3","1","2","1","0","0","0","20","7","8","0","1"
"90","Travis Homer (CHI)","9","25","88","3.5","53","2.1","35","1.4","2","6","-12","0","3","0","0","0","0","12","9","10","1","17"
"91","Chris Thompson (FA)","8","7","20","2.9","6","0.9","14","2.0","0","1","-1","0","0","0","0","0","0","5","20","23","3","25"
"92","Ameer Abdullah (SF)","16","8","42","5.3","25","3.1","17","2.1","0","0","0","0","1","0","0","0","0","13","8","9","3","7"
"93","Antonio Williams (FA)","1","12","63","5.3","34","2.8","29","2.4","1","0","0","18","2","0","0","0","0","18","1","1","0","12"
"94","Alex Collins (FA)","3","18","77","4.3","40","2.2","37","2.1","0","2","-4","13","1","0","0","0","0","13","1","2","0","0"
"95","Dare Ogunbowale (HOU)","14","32","145","4.5","72","2.3","73","2.3","3","3","-5","0","5","1","0","0","0","25","10","20","0","14"
"96","Ke'Shawn Vaughn (FA)","10","26","109","4.2","62","2.4","47","1.8","2","3","-8","0","4","0","0","0","0","19","5","10","2","6"
"97","D'Ernest Johnson (FA)","16","33","166","5.0","101","3.1","65","2.0","2","3","-5","0","4","3","0","0","0","28","3","4","1","3"
"98","C.J. Ham (MIN)","15","5","18","3.6","13","2.6","5","1.0","0","0","0","0","1","0","0","0","0","10","8","14","3","22"
"99","Alec Ingold (MIA)","16","3","4","1.3","0","0.0","4","1.3","0","1","-1","0","0","0","0","0","0","3","12","17","3","18"
"100","Trayveon Williams (FA)","10","26","157","6.0","54","2.1","103","4.0","3","2","-4","0","2","1","1","1","1","55","5","5","0","1"
"101","Anthony McFarland Jr. (FA)","11","33","113","3.4","70","2.1","43","1.3","1","3","-5","0","2","1","0","0","0","20","6","10","0","18"
"102","Corey Clement (FA)","15","21","75","3.6","43","2.0","32","1.5","0","0","0","5","0","0","0","0","0","7","5","6","0","16"
"103","D'Onta Foreman (FA)","6","22","95","4.3","46","2.1","49","2.2","2","1","-1","0","3","0","0","0","0","15","1","1","1","0"
"104","T.J. Yeldon (FA)","3","10","70","7.0","36","3.6","34","3.4","0","0","0","0","1","1","1","0","0","34","1","4","0","0"
"105","Gabe Nabers (FA)","16","2","7","3.5","2","1.0","5","2.5","0","0","0","0","0","0","0","0","0","4","5","7","3","3"
"106","Tyler Ervin (FA)","8","13","67","5.2","48","3.7","19","1.5","1","0","0","0","2","1","0","0","0","21","11","15","0","22"
"107","Reggie Bonnafon (FA)","2","12","69","5.8","49","4.1","20","1.7","0","0","0","0","3","1","0","0","0","22","2","2","1","0"
"108","Darrynton Evans (BUF)","5","14","54","3.9","29","2.1","25","1.8","0","2","-2","0","0","0","0","0","0","9","2","4","1","8"
"109","LeSean McCoy (FA)","10","10","31","3.1","23","2.3","8","0.8","0","2","-8","0","2","0","0","0","0","14","15","19","3","24"
"110","Mike Boone (FA)","16","11","59","5.4","22","2.0","37","3.4","4","1","-1","4","2","0","0","0","0","19","2","2","0","4"
"111","Ty Montgomery II (FA)","6","19","101","5.3","68","3.6","33","1.7","0","2","-6","0","3","1","1","0","0","36","3","6","1","1"
"112","Ryan Nall (FA)","15","3","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","8","9","2","11"
"113","DeAndre Washington (FA)","4","31","91","2.9","57","1.8","34","1.1","1","4","-6","0","1","0","0","0","0","16","5","10","1","3"
"114","Patrick Laird (FA)","16","13","72","5.5","50","3.8","22","1.7","1","1","-1","0","2","0","0","0","0","17","10","12","1","10"
"115","Troymaine Pope (FA)","6","15","76","5.1","49","3.3","27","1.8","0","3","-6","0","2","1","0","0","0","26","8","10","2","9"
"116","Tarik Cohen (FA)","3","14","74","5.3","52","3.7","22","1.6","1","0","0","0","2","0","0","0","0","17","6","9","2","9"
"117","J.J. Taylor (HOU)","6","23","110","4.8","51","2.2","59","2.6","1","3","-3","0","2","1","0","0","0","28","1","2","1","1"
"118","Artavis Pierce (FA)","5","6","34","5.7","14","2.3","20","3.3","1","2","-3","3","1","1","0","0","0","23","0","0","0","0"
"119","Saquon Barkley (PHI)","2","19","34","1.8","-2","-0.1","36","1.9","1","9","-22","0","1","0","0","0","0","18","6","9","2","15"
"120","Tevin Coleman (FA)","8","28","53","1.9","3","0.1","50","1.8","3","7","-23","0","2","0","0","0","0","12","4","5","2","7"
"121","Patrick Ricard (BAL)","15","1","-1","-1.0","0","0.0","0","0.0","0","1","-1","0","0","0","0","0","0","0","9","12","3","17"
"122","Justice Hill (BAL)","12","12","60","5.0","35","2.9","25","2.1","1","2","-3","0","2","0","0","0","0","19","5","5","2","9"
"123","C.J. Prosise (FA)","10","10","19","1.9","13","1.3","6","0.6","0","2","-2","0","0","0","0","0","0","7","5","5","1","5"
"124","Jaylen Samuels (FA)","14","9","28","3.1","14","1.6","14","1.6","0","0","0","0","0","0","0","0","0","6","9","14","0","20"
"125","Anthony Sherman (FA)","12","3","8","2.7","4","1.3","4","1.3","0","0","0","0","0","0","0","0","0","6","1","2","1","0"
"126","Buddy Howell (FA)","14","16","64","4.0","44","2.8","20","1.3","0","0","0","0","0","0","0","0","0","9","1","2","0","2"
"127","Keith Smith (FA)","16","4","7","1.8","4","1.0","3","0.8","0","0","0","0","0","0","0","0","0","3","11","15","1","7"
"128","Theo Riddick (FA)","5","6","14","2.3","4","0.7","10","1.7","0","1","-5","0","1","0","0","0","0","11","5","6","1","12"
"129","Marlon Mack (FA)","1","4","26","6.5","14","3.5","12","3.0","0","1","-3","0","1","0","0","0","0","18","3","3","0","0"
"130","Dontrell Hilliard (FA)","7","9","48","5.3","19","2.1","29","3.2","1","1","-5","0","2","0","0","0","0","19","1","1","0","0"
"131","Trenton Cannon (FA)","14","10","33","3.3","9","0.9","24","2.4","1","3","-7","0","2","0","0","0","0","13","3","3","0","0"
"132","Michael Burton (DEN)","15","7","18","2.6","10","1.4","8","1.1","0","0","0","0","0","0","0","0","0","7","4","4","1","6"
"133","Devine Ozigbo (FA)","8","1","1","1.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","1","9","9","1","17"
"134","Elijhaa Penny (FA)","14","6","15","2.5","4","0.7","11","1.8","0","0","0","0","0","0","0","0","0","5","2","3","1","1"
"135","Rashaad Penny (FA)","3","11","34","3.1","20","1.8","14","1.3","0","0","0","0","0","0","0","0","0","7","0","0","0","0"
"136","Bo Scarbrough (FA)","1","6","31","5.2","17","2.8","14","2.3","1","0","0","0","1","0","0","0","0","12","0","0","0","0"
"137","Austin Walter (FA)","4","1","3","3.0","1","1.0","2","2.0","0","0","0","0","0","0","0","0","0","3","1","1","0","27"
"138","Alex Armah Jr. (FA)","16","6","9","1.5","3","0.5","6","1.0","0","0","0","0","0","0","0","0","0","3","5","9","3","3"
"139","Rico Dowdle (CAR)","15","7","24","3.4","13","1.9","11","1.6","0","0","0","0","0","0","0","0","0","7","0","0","0","0"
"140","Jason Huntley (FA)","5","5","19","3.8","8","1.6","11","2.2","2","0","0","0","1","0","0","0","0","10","1","2","0","0"
"141","Andy Janovich (FA)","14","2","4","2.0","3","1.5","1","0.5","0","0","0","0","0","0","0","0","0","2","2","5","0","7"
"142","LeVante Bellamy (FA)","5","4","11","2.8","8","2.0","3","0.8","0","0","0","0","0","0","0","0","0","8","1","1","0","2"
"143","Scottie Phillips (FA)","8","2","9","4.5","5","2.5","4","2.0","0","0","0","0","0","0","0","0","0","5","1","1","1","0"
"144","Dwayne Washington (FA)","11","8","15","1.9","10","1.3","5","0.6","0","2","-3","0","0","0","0","0","0","5","0","0","0","0"
"145","Tony Jones Jr. (FA)","1","3","13","4.3","6","2.0","7","2.3","0","0","0","0","0","0","0","0","0","6","0","0","0","0"
"146","D.J. Foster (FA)","10","2","2","1.0","0","0.0","2","1.0","0","0","0","0","0","0","0","0","0","2","1","1","0","0"
"147","Senorise Perry (FA)","7","2","9","4.5","2","1.0","7","3.5","0","0","0","0","0","0","0","0","0","6","0","0","0","0"
"148","Dexter Williams (FA)","3","2","8","4.0","7","3.5","1","0.5","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"149","Craig Reynolds (DET)","2","1","4","4.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","4","1","1","0","0"
"150","Jonathan Williams (FA)","5","1","5","5.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","5","4","4","0","2"
"151","Tony Brooks-James (FA)","1","3","4","1.3","0","0.0","4","1.3","0","1","-2","0","0","0","0","0","0","4","0","0","0","0"
"152","Qadree Ollison (FA)","3","1","3","3.0","0","0.0","3","3.0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"153","Adrian Killins Jr. (FA)","1","1","-12","-12.0","0","0.0","0","0.0","0","1","-12","0","0","0","0","0","0","0","1","1","0","2"
""
""
