"Rank","Player","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"74","Durham Smythe (CHI)","1","2","50.0%","8","8.0","0","9.1%","0","0","0","0.0%","0","14","0.8","0.1","0.6%"
"75","Noah Fant (CIN)","1","4","25.0%","7","7.0","0","40.0%","0","0","0","0%","0","14","0.7","0.1","16.9%"
"76","Stone Smartt (NYJ)","1","1","100.0%","7","7.0","0","8.3%","0","0","0","0%","0","9","0.7","0.1","2.1%"
"77","Luke Farrell (SF)","1","1","100.0%","6","6.0","0","7.7%","0","0","0","0%","0","12","0.6","0.1","0.6%"
"78","Will Dissly (LAC)","3","6","50.0%","5","1.7","0","50.0%","0","0","0","0%","0","15","0.5","0.0","4.9%"
"79","Davis Allen (LAR)","1","5","20.0%","5","5.0","0","29.4%","0","0","0","0%","0","14","0.5","0.0","1.0%"
"80","Luke Musgrave (GB)","1","1","100.0%","4","4.0","0","5.6%","0","0","0","0%","0","7","0.4","0.1","11.0%"
"81","Daniel Bellinger (NYG)","1","1","100.0%","3","3.0","0","25.0%","0","0","0","0%","0","17","0.3","0.0","2.6%"
"82","Ben Sims (GB)","1","2","50.0%","2","2.0","0","11.1%","0","0","0","0%","0","17","0.2","0.0","0.0%"
"83","Tanner Conner (MIA)","1","1","100.0%","1","1.0","0","4.5%","0","0","0","0.0%","0","7","0.1","0.0","1.0%"
"84","Brevyn Spann-Ford (DAL)","0","2","0.0%","0","0","0","25.0%","0","0","0","0%","0","17","0.0","0.0","0.0%"
"85","E.J. Jenkins (PHI)","0","1","0.0%","0","0","0","9.1%","0","0","0","0%","0","8","0.0","0.0","1.0%"
"86","Brady Russell (SEA)","0","0","0%","0","0","0","0.0%","0","0","0","0%","0","11","0.0","0.0","0.0%"
"87","Zach Davidson (BUF)","0","1","0.0%","0","0","0","5.9%","0","0","0","0%","0","3","0.0","0.0","1.0%"
"88","Eric Tomlinson (FA)","0","1","0.0%","0","0","0","8.3%","0","0","0","0%","0","5","0.0","0.0","0.0%"
"89","Gerald Everett (FA)","0","2","0.0%","0","0","0","20.0%","0","0","0","0%","0","10","0.0","0.0","1.4%"
"90","Luke Schoonmaker (DAL)","0","1","0.0%","0","0","0","12.5%","0","0","0","0%","0","17","0.0","0.0","6.4%"
"91","Hayden Hurst (FA)","0","3","0.0%","0","0","0","25.0%","0","0","0","0%","0","7","0.0","0.0","1.3%"
"92","Tucker Fisk (LAC)","0","1","0.0%","0","0","0","8.3%","0","0","0","0%","0","9","0.0","0.0","1.0%"
"93","Ian Thomas (LV)","0","1","0.0%","0","0","0","11.1%","0","0","0","0%","0","3","0.0","0.0","0.0%"
"94","Theo Johnson (NYG)","0","1","0.0%","0","0","0","25.0%","0","0","0","0%","0","12","0.0","0.0","11.4%"
"95","Jody Fortson Jr. (FA)","0","1","0.0%","0","0","0","2.6%","0","0","0","0.0%","0","3","0.0","0.0","0.0%"
"96","Greg Dulcich (NYG)","0","1","0.0%","0","0","0","25.0%","0","0","0","0%","0","9","0.0","0.0","5.8%"
"97","Pharaoh Brown (MIA)","0","1","0.0%","0","0","0","10.0%","0","0","0","0%","0","10","0.0","0.0","0.1%"
""
""
