"Rank","Player","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"79","Brandin Cooks (NO)","2","4","50.0%","5","2.5","2","8.7%","1","-3","0","33.3%","0","10","12.2","1.2","11.2%"
"80","Chris Olave (NO)","4","6","66.7%","55","13.8","1","37.5%","0","0","0","0.0%","0","8","11.5","1.4","88.3%"
"81","Jaylen Waddle (MIA)","6","9","66.7%","50","8.3","1","25.0%","2","2","0","66.7%","0","16","11.2","0.7","89.4%"
"82","Greg Dortch (ARI)","6","6","100.0%","37","6.2","1","24.0%","2","10","0","100.0%","0","17","10.7","0.6","4.6%"
"83","Mecole Hardman Jr. (GB)","4","5","80.0%","11","2.8","0","10.2%","3","33","1","30.0%","0","12","10.4","0.9","1.0%"
"84","Derius Davis (LAC)","2","2","100.0%","27","13.5","1","7.1%","1","8","0","50.0%","0","15","9.5","0.6","0.8%"
"85","Trey Palmer (TB)","2","2","100.0%","34","17.0","1","4.8%","0","0","0","0.0%","0","15","9.4","0.6","1.6%"
"86","Ray-Ray McCloud III (ATL)","3","5","60.0%","18","6.0","1","14.3%","1","14","0","100.0%","0","17","9.2","0.5","3.6%"
"87","Sterling Shepard (TB)","3","6","50.0%","29","9.7","1","14.3%","4","3","0","100.0%","0","14","9.2","0.7","1.0%"
"88","KaVontae Turpin (DAL)","3","7","42.9%","31","10.3","1","15.2%","1","0","0","33.3%","0","17","9.1","0.5","4.0%"
"89","John Metchie III (HOU)","5","8","62.5%","29","5.8","1","21.6%","0","0","0","0.0%","0","13","8.9","0.7","4.4%"
"90","Ricky Pearsall (SF)","5","6","83.3%","25","5.0","1","13.3%","1","4","0","9.1%","0","11","8.9","0.8","78.8%"
"91","Curtis Samuel (BUF)","3","6","50.0%","28","9.3","1","15.8%","1","0","0","100.0%","0","14","8.8","0.6","8.8%"
"92","Christian Watson (GB)","2","8","25.0%","11","5.5","1","17.4%","1","14","0","33.3%","0","15","8.5","0.6","18.8%"
"93","Jalen Coker (CAR)","2","6","33.3%","23","11.5","1","13.3%","0","0","0","0.0%","0","11","8.3","0.8","11.1%"
"94","Marvin Mims Jr. (DEN)","4","4","100.0%","22","5.5","1","9.1%","0","0","0","0%","0","17","8.2","0.5","49.4%"
"95","Malik Washington (MIA)","2","2","100.0%","4","2.0","0","5.6%","1","18","1","33.3%","0","14","8.2","0.6","4.3%"
"96","Jerry Jeudy (CLE)","4","12","33.3%","21","5.3","1","41.4%","0","0","0","0%","0","17","8.1","0.5","89.0%"
"97","Kristian Wilkerson (BUF)","2","3","66.7%","18","9.0","1","10.7%","0","0","0","0.0%","0","1","7.8","7.8","1.0%"
"98","Christian Kirk (HOU)","2","5","40.0%","18","9.0","1","12.5%","0","0","0","0.0%","0","8","7.8","1.0","38.7%"
"99","Jalen Brooks (DAL)","1","4","25.0%","17","17.0","1","8.7%","0","0","0","0.0%","0","14","7.7","0.6","1.0%"
"100","Cedric Tillman (CLE)","2","5","40.0%","17","8.5","1","17.2%","0","0","0","0%","0","11","7.7","0.7","26.0%"
"101","Darnell Mooney (ATL)","2","6","33.3%","16","8.0","1","17.1%","0","0","0","0.0%","0","16","7.6","0.5","64.9%"
"102","Tyler Lockett (TEN)","2","10","20.0%","15","7.5","1","29.4%","0","0","0","0%","0","17","7.5","0.4","12.8%"
"103","Josh Reynolds (NYJ)","2","2","100.0%","14","7.0","1","5.0%","0","0","0","0.0%","0","8","7.4","0.9","1.1%"
"104","DeMario Douglas (NE)","4","6","66.7%","14","3.5","1","30.0%","0","0","0","0.0%","0","17","7.4","0.4","23.7%"
"105","Cedrick Wilson Jr. (NO)","1","1","100.0%","12","12.0","1","6.3%","0","0","0","0.0%","0","15","7.2","0.5","1.1%"
"106","Bub Means (NO)","1","1","100.0%","10","10.0","1","6.3%","0","0","0","0.0%","0","7","7.0","1.0","1.0%"
"107","Trent Sherfield Sr. (DEN)","1","1","100.0%","10","10.0","1","2.1%","0","0","0","0.0%","0","15","7.0","0.5","0.1%"
"108","Rashee Rice (KC)","2","2","100.0%","10","5.0","1","4.1%","0","0","0","0.0%","0","4","7.0","1.8","93.4%"
"109","Kendrick Bourne (NE)","1","2","50.0%","9","9.0","1","10.0%","0","0","0","0.0%","0","12","6.9","0.6","2.7%"
"110","Kalif Raymond (DET)","2","2","100.0%","8","4.0","1","3.8%","0","0","0","0.0%","0","12","6.8","0.6","1.1%"
"111","Parker Washington (JAC)","2","6","33.3%","7","3.5","1","15.0%","0","0","0","0.0%","0","17","6.7","0.4","10.4%"
"112","Johnny Wilson (PHI)","1","3","33.3%","5","5.0","1","10.0%","0","0","0","0.0%","0","16","6.5","0.4","0.6%"
"113","Marquez Valdes-Scantling (SEA)","1","2","50.0%","2","2.0","1","12.5%","0","0","0","0.0%","0","13","6.2","0.5","5.3%"
"114","Parris Campbell (FA)","1","1","100.0%","1","1.0","1","3.3%","0","0","0","0.0%","0","4","6.1","1.5","0.1%"
"115","Xavier Gipson (NYJ)","1","1","100.0%","1","1.0","1","1.6%","0","0","0","0.0%","0","17","6.1","0.4","0.6%"
"116","Brandon Aiyuk (SF)","3","6","50.0%","34","11.3","0","13.3%","0","0","0","0.0%","0","7","3.4","0.5","63.7%"
"117","Rashid Shaheed (NO)","2","4","50.0%","5","2.5","0","25.0%","3","17","0","100.0%","0","6","2.2","0.4","60.6%"
"118","Elijah Moore (BUF)","4","7","57.1%","22","5.5","0","24.1%","0","0","0","0%","0","17","2.2","0.1","4.9%"
"119","Tyler Johnson (NYJ)","2","8","25.0%","19","9.5","0","18.2%","0","0","0","0.0%","0","11","1.9","0.2","1.1%"
"120","Darius Slayton (NYG)","0","5","0.0%","0","0","0","14.3%","2","17","0","66.7%","0","16","1.7","0.1","9.9%"
"121","DeAndre Carter (CLE)","2","3","66.7%","16","8.0","0","5.5%","0","0","0","0%","0","13","1.6","0.1","0.1%"
"122","Lil'Jordan Humphrey (NYG)","2","6","33.3%","15","7.5","0","13.6%","0","0","0","0%","0","14","1.5","0.1","0.7%"
"123","Tutu Atwell (LAR)","1","2","50.0%","8","8.0","0","4.5%","1","7","0","16.7%","0","17","1.5","0.1","6.5%"
"124","Luke McCaffrey (WAS)","2","3","66.7%","15","7.5","0","8.3%","0","0","0","0%","0","17","1.5","0.1","3.2%"
"125","Noah Brown (WAS)","3","4","75.0%","14","4.7","0","11.1%","0","0","0","0%","0","11","1.4","0.1","3.4%"
"126","Tyquan Thornton (KC)","1","1","100.0%","14","14.0","0","5.0%","0","0","0","0.0%","0","4","1.4","0.4","0.0%"
"127","Tyler Boyd (FA)","2","7","28.6%","13","6.5","0","26.9%","0","0","0","0.0%","0","15","1.3","0.1","2.4%"
"128","Michael Woods II (FA)","1","4","25.0%","13","13.0","0","13.8%","0","0","0","0%","0","5","1.3","0.3","0.0%"
"129","Ashton Dulin (IND)","0","1","0.0%","0","0","0","2.6%","1","12","0","33.3%","0","15","1.2","0.1","0.1%"
"130","Kayshon Boutte (NE)","2","4","50.0%","12","6.0","0","20.0%","0","0","0","0.0%","0","15","1.2","0.1","13.2%"
"131","David Bell (CLE)","1","1","100.0%","12","12.0","0","3.4%","0","0","0","0%","0","1","1.2","1.2","0.0%"
"132","Calvin Austin III (PIT)","2","5","40.0%","12","6.0","0","15.6%","0","0","0","0%","0","17","1.2","0.1","11.2%"
"133","K.J. Osborn (WAS)","2","3","66.7%","12","6.0","0","15.0%","0","0","0","0.0%","0","7","1.2","0.2","1.4%"
"134","Dyami Brown (JAC)","1","4","25.0%","11","11.0","0","11.1%","0","0","0","0%","0","15","1.1","0.1","9.5%"
"135","Joshua Palmer (BUF)","3","7","42.9%","11","3.7","0","25.0%","0","0","0","0.0%","0","15","1.1","0.1","18.6%"
"136","Deven Thompkins (FA)","1","1","100.0%","2","2.0","0","2.2%","1","9","0","50.0%","0","5","1.1","0.2","0.0%"
"137","Jermaine Burton (CIN)","1","4","25.0%","11","11.0","0","5.3%","0","0","0","0%","0","14","1.1","0.1","4.4%"
"138","DK Metcalf (PIT)","2","8","25.0%","11","5.5","0","23.5%","0","0","0","0%","0","15","1.1","0.1","95.9%"
"139","Ronnie Bell (DET)","1","1","100.0%","10","10.0","0","2.2%","0","0","0","0.0%","0","4","1.0","0.3","0.1%"
"140","Jake Bobo (SEA)","1","1","100.0%","10","10.0","0","2.9%","0","0","0","0%","0","17","1.0","0.1","2.3%"
"141","Devin Duvernay (CHI)","2","2","100.0%","7","3.5","0","5.0%","1","3","0","100.0%","0","13","1.0","0.1","0.1%"
"142","Jacob Cowing (SF)","1","2","50.0%","9","9.0","0","4.4%","0","0","0","0.0%","0","15","0.9","0.1","1.2%"
"143","Trenton Irwin (JAC)","2","6","33.3%","9","4.5","0","8.0%","0","0","0","0%","0","6","0.9","0.2","0.0%"
"144","Rakim Jarrett (TB)","1","2","50.0%","6","6.0","0","4.8%","0","0","0","0.0%","0","10","0.6","0.1","1.9%"
"145","Mason Tipton (NO)","1","1","100.0%","6","6.0","0","6.3%","0","0","0","0.0%","0","11","0.6","0.1","1.3%"
"146","Malachi Corley (NYJ)","0","2","0.0%","0","0","0","3.3%","2","26","0","100.0%","1","7","0.6","0.1","3.6%"
"147","Adonai Mitchell (IND)","0","7","0.0%","0","0","0","17.9%","2","6","0","66.7%","0","17","0.6","0.0","10.6%"
"148","Odell Beckham Jr. (FA)","1","4","25.0%","5","5.0","0","11.1%","0","0","0","0.0%","0","8","0.5","0.1","1.1%"
"149","Britain Covey (LAR)","2","2","100.0%","5","2.5","0","6.7%","0","0","0","0.0%","0","5","0.5","0.1","0.0%"
"150","Brandon Powell (FA)","1","1","100.0%","5","5.0","0","2.1%","0","0","0","0.0%","0","17","0.5","0.0","1.4%"
"151","Robert Woods (PIT)","1","2","50.0%","4","4.0","0","5.4%","0","0","0","0.0%","0","14","0.4","0.0","1.3%"
"152","Marquise Brown (KC)","1","2","50.0%","3","3.0","0","4.1%","0","0","0","0.0%","0","2","0.3","0.2","49.2%"
"153","Tylan Wallace (BAL)","1","1","100.0%","2","2.0","0","5.6%","0","0","0","0.0%","0","17","0.2","0.0","0.6%"
"154","Jalen Reagor (LAC)","0","0","0%","0","0","0","0.0%","1","1","0","50.0%","0","8","0.1","0.0","0.0%"
"155","Bo Melton (GB)","1","1","100.0%","1","1.0","0","2.2%","0","0","0","0.0%","0","17","0.1","0.0","1.6%"
"156","Chris Conley (FA)","0","1","0.0%","0","0","0","2.2%","0","0","0","0.0%","0","9","0.0","0.0","0.0%"
"157","Jonathan Mingo (DAL)","0","1","0.0%","0","0","0","2.2%","0","0","0","0.0%","0","16","0.0","0.0","0.6%"
"158","Bryce Oliver (TEN)","0","1","0.0%","0","0","0","3.8%","0","0","0","0.0%","0","10","0.0","0.0","0.0%"
"159","Robbie Chosen (SF)","0","2","0.0%","0","0","0","5.6%","0","0","0","0.0%","0","1","0.0","0.0","0.0%"
"160","Quinton Bell (MIA)","0","0","0%","0","0","0","0.0%","0","0","0","0.0%","0","16","0.0","0.0","0.8%"
"161","Braxton Berrios (HOU)","0","1","0.0%","0","0","0","2.8%","0","0","0","0.0%","0","8","0.0","0.0","0.6%"
"162","Mike Williams (FA)","0","2","0.0%","0","0","0","6.3%","0","0","0","0%","0","14","0.0","0.0","13.7%"
"163","Zay Jones (ARI)","0","0","0%","0","0","0","0.0%","0","0","0","0.0%","0","11","0.0","0.0","2.5%"
"164","Jahan Dotson (PHI)","0","1","0.0%","0","0","0","3.3%","0","0","0","0.0%","0","17","0.0","0.0","7.2%"
"165","Justyn Ross (FA)","0","1","0.0%","0","0","0","2.0%","0","0","0","0.0%","0","2","0.0","0.0","0.0%"
"166","Dante Pettis (NO)","0","1","0.0%","0","0","0","6.3%","0","0","0","0.0%","0","8","0.0","0.0","0.6%"
"167","Scotty Miller (PIT)","0","1","0.0%","0","0","0","3.1%","0","0","0","0%","0","13","0.0","0.0","0.1%"
"168","Ramel Keyton (FA)","0","1","0.0%","0","0","0","3.6%","0","0","0","0.0%","0","3","0.0","0.0","0.0%"
"169","Jordan Whittington (LAR)","0","1","0.0%","0","0","0","2.3%","0","0","0","0.0%","0","15","0.0","0.0","8.3%"
"170","Xavier Hutchinson (HOU)","0","1","0.0%","0","0","0","2.7%","0","0","0","0.0%","0","16","0.0","0.0","0.6%"
"171","KhaDarel Hodge (ATL)","0","1","0.0%","0","0","0","2.9%","0","0","0","0.0%","0","16","0.0","0.0","0.8%"
"172","Irvin Charles (NYJ)","0","1","0.0%","0","0","0","1.6%","0","0","0","0.0%","0","11","0.0","0.0","1.1%"
"173","Simi Fehoko (ARI)","0","2","0.0%","0","0","0","7.1%","0","0","0","0.0%","0","6","0.0","0.0","1.0%"
"174","Alex Bachman (LV)","0","0","0%","0","0","0","0.0%","0","0","0","0.0%","0","5","0.0","0.0","0.0%"
"175","Kameron Johnson (TB)","0","1","0.0%","0","0","0","2.4%","0","0","0","0.0%","0","5","0.0","0.0","0.0%"
""
""
